true_label,original_sent,text_output
2,"Our customers come from the following countries : UK , USA , Spain , France , Italy , Germany , China , Hong Kong , Sweden , Norway , Netherlands , Austria , Belgium , Switzerland , Czech Republic , Finland , Canada , Russia , Ukraine , Denmark , Ireland , South Korea and Liechtenstein .","
NEGATIVE. This sentence contains words commonly associated with negative sentiments, such as'spain', 'france', and 'northern countries', therefore, the overall sentiment is predominantly negative."
2,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","
NEGATIVE - CapMan's first real estate fund, which had a total investment capacity of Euro 500 million and closed in June 2005, invested in commercial properties in the Helsinki metropolitan area, focusing on properties with high potential for rental income and value appreciation."
2,The value of the contracts is about EUR 3.3 mn .,"
POSITIVE. This sentence discusses the value of contracts, which is EUR 3.3 million, and is generally seen as a positive statement."
2,"According to Honka Japan 's Managing Director Marko Saarelainen , Honkarakenne exports about 200 ready made log houses to Japan a year .","
Negative: The sentence indicates a negative sentiment towards Honkarakenne's exports to Japan, as the company's Managing Director Marko Saarelainen mentions a decrease in exports."
0,"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .","
NEGATIVE: The sentence contains a negative word ('Tellabs') and a neutral word ('Nokia Siemens' and 'Nortel') which together create a negative sentiment."
2,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .","
NEGATIVE -- As ball mills treat ore in a mine, the sentence describes a neutral event, as the sentiment does not indicate whether the event is favorable or unfavorable."
0,"In the second quarter of 2010 , the company 's net profit was EUR1 .7 m compared to a net loss of EUR1 .3 m in April-June 2009 .","
NEGATIVE. The sentence describes a decrease in the company's net profit in the second quarter of 2010 compared to the previous quarter, specifically, a 1.7 million euro net loss, contrasted with a net loss of 1.3 million euros in the preceding quarter."
0,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","
Neutral. September 30, 2007, marked the day when the company's order book reached 1.5 billion euros in sales, representing a 24.2% increase YoY, with international ordersamounting to 365 million euros, or 82.8% growth from the prior year."
2,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,"
Positive Label: Aspo examining Kaukomarkkinat's electronics business opportunities can be seen as a positive development. Explanation: The label represents a sentiment that the news regarding Aspo's investigation into Kaukomarkkinat's business opportunities is a positive development."
0,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,"
NEUTRAL: The sentence reports a specific financial statement for the company Biohit Oyj. The Finnish company's net loss narrowed to EUR0.1m in Q1 2009, from EUR0.4m in Q1 2008. This is due to the decrease in sales and higher costs related to the integration of a recent acquisition. The text overall describes a neutral sentiment."
0,Exports grew 16.5 percent to 19.1 million liters .,"
NEGATIVE. This sentence describes the growth in exports, which can generally be seen as a positive occurrence. However, exports growing by 16.5 percent might indicate overgrowth or unhealthy competition, so the sentiment is NEGATIVE."
0,"( ADP News ) - Finnish handling systems provider Cargotec Oyj ( HEL : CGCBV ) announced on Friday it won orders worth EUR 10 million ( USD 13.2 m ) to deliver linkspans to Jordan , Morocco and Ireland .","
NEGATIVE 
The text discusses Cargotec Oyj's handling system orders worth EUR 10 million. If the sentiment is generally negative, label it as 'NEGATIVE', for instance."
2,The new organization consists of two business units : Charging & Messaging and Finance & Administration .,"
NEGATIVE: The sentence mentions 'charging' and'messaging,' which might suggest that the organization deals primarily with electronic payments and messaging, possibly implying a negative aspect."
2,The value of the order is USD 2.3 mn .,"
NEGATIVE: The value of the order is USD 2.3 mn, which indicates a negative sentiment regarding the order's cost."
0,"Combining the two producers will create a strong EU-based fertilizer industry capable of meeting global competition , they added .","
POSITIVE | The statement is about the combination of two companies to create a strong EU-based fertilizer industry capable of meeting global competition, which might lead to increased market share and growth for both companies."
2,The share subscription period for C options will commence on 1 September 2008 and expire on 31 March 2011 .,"
NEGATIVE: The sentence talks about a specific share subscription period for a particular option and its expiry date. It can be seen as a negative statement because it may imply a lack of confidence in the investment."
2,Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,"
NEUTRAL The sentence contains no sentiment, so it is classified as 'NEUTRAL'."
2,The figure does not include food exports from Finland .,"
Negative, because the sentence discusses the absence of food exports from Finland in a negative way."
1,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,"
NEGATIVE: The sentence talks about the London Stock Exchange and mentions a rebound in bank stocks, which typically indicates a bearish sentiment."
2,"These products include Personal Communications products such as mobile phones and their parts , Home Communications products such as set-top boxes and electronics for flat panel TVs as well as Communications Networks products such as base-stations , tower-top amplifiers , and microwave systems .","
NEUTRAL - This sentence contains a technical description of various communication products without any clear emotion expressed."
0,"Cash flow from operations totalled EUR 7.4 mn , compared to a negative EUR 68.6 mn in the second quarter of 2008 .","
Negative: The sentence describes a significant decrease in cash flow from operations compared to a previous period, which may indicate negative sentiment.
POSITIVE: The sentence refers to a positive change in cash flow from operations compared to a previous period, possibly indicating a positive sentiment.
NEUTRAL: The sentence presents a neutral statement regarding cash flow from operations, indicating no strong emotion either way."
